no,name,description,price,image
1,Classic Italian Tiramisu V,"Coffee dipped savoiardi, layered with mascarpone cheese & cocoa",16,classic-italian-tiramisu.png
2,Cannoli V,"Crispy Sicilian roll filled with ricotta & mascarpone cheese",21,cannoli.png
3,Napoleon V,"Mille-feuille with vanilla custard & heavy cream",29,napoleon.png
4,Rum Baba V,"Creamy sponge soaked in spiced rum, served with butter cream & citrus sauce",22,rum-baba.png
5,Hazelnut Profiteroles V,"Homemade choux pastry filled with praline cream & roasted caramelized hazelnuts",21,hazelnut-profiteroles.png
6,Classic Creme Brulee V GF,"Vanilla custard base, topped with caramelized sugar & fresh berries",21,classic-creme-brulee.png
7,Panna Cotta GF,"Italian vanilla pudding with raspberry sauce & fresh berries",21,panna-cotta.png
8,Classic New York Cheesecake V,"Graham cracker crust topped with Italian cream cheese",21,classic-new-york-cheesecake.png
9,Pavlova by Et Cetera Winery GF,"Meringue layered with whipped cream, raspberry sauce & fresh berries",24,pavlova-by-et-cetera-winery.png
10,Torta Cioccolatino V GF,"Dark chocolate ganache filled with mascarpone cheese",21,torta-cioccolatino.png
11,Ice Cream V,"Choice of vanilla or caramel",9,
12,Assorted Fruit Bowl with Whipped Cream V,"Dragon fruit, grapes, blueberries, blackberries, raspberries & strawberries",34,
13,Large Assorted Fruit Bowl with Meringue V,"Rambutan, white dragon fruit, red dragon fruit, fig, mixed berries, cherry, passion fruit, peach, mango & grapes",98,
14,Cigara Novikov V,"Chocolate mousse, creamy caramel, crunchy hazelnut layer",28,cigara-novikov.png
15,Sorbet VE,"Choice of lemon, mango or coconut",9,
16,Apple Tarte,"Warm puff pastry layered with caramelized apples, served with vanilla ice cream and fresh seasonal berries",27,
17,Lava Cake,"Chocolate cake with a molten center, served with a scoop of vanilla ice cream, fresh seasonal berries",25,lava-cake.png
18,Novikov Mini Desserts Plate,"Bite-size Napoleon, Bite-size Pavlova, Panna Cotta, Tiramisu, Torta Cioccolatino",110,
19,Honey Cake,"Delicate honey-infused layers with a light, creamy filling",22,honey-cake.png